row,scheme,rank,acceptability
P2-07,pm50,1,0.0000
P2-07,pm50,2,0.0056
P2-07,pm50,3,0.0255
P2-07,pm50,4,0.1021
P2-07,pm50,5,0.1520
P2-07,pm50,6,0.0657
P2-07,pm50,7,0.0876
P2-07,pm50,8,0.0567
P2-07,pm50,9,0.0716
P2-07,pm50,10,0.0448
P2-03,pm50,1,0.0000
P2-03,pm50,2,0.0000
P2-03,pm50,3,0.0004
P2-03,pm50,4,0.0068
P2-03,pm50,5,0.0145
P2-03,pm50,6,0.0220
P2-03,pm50,7,0.0682
P2-03,pm50,8,0.0550
P2-03,pm50,9,0.0738
P2-03,pm50,10,0.0833
P4-71,uniform,1,0.8599
P4-71,uniform,2,0.0476
P4-71,uniform,3,0.0193
P4-71,uniform,4,0.0130
P4-71,uniform,5,0.0081
P4-71,uniform,6,0.0072
P4-71,uniform,7,0.0053
P4-71,uniform,8,0.0036
P4-71,uniform,9,0.0029
P4-71,uniform,10,0.0024
P2-46,uniform,1,0.0168
P2-46,uniform,2,0.2097
P2-46,uniform,3,0.0725
P2-46,uniform,4,0.0473
P2-46,uniform,5,0.0334
P2-46,uniform,6,0.0336
P2-46,uniform,7,0.0280
P2-46,uniform,8,0.0239
P2-46,uniform,9,0.0204
P2-46,uniform,10,0.0202
P2-02,uniform,1,0.0000
P2-02,uniform,2,0.0039
P2-02,uniform,3,0.0718
P2-02,uniform,4,0.0935
P2-02,uniform,5,0.0367
P2-02,uniform,6,0.0370
P2-02,uniform,7,0.0311
P2-02,uniform,8,0.0260
P2-02,uniform,9,0.0241
P2-02,uniform,10,0.0206
P2-01,uniform,1,0.0000
P2-01,uniform,2,0.0085
P2-01,uniform,3,0.0985
P2-01,uniform,4,0.0712
P2-01,uniform,5,0.0446
P2-01,uniform,6,0.0293
P2-01,uniform,7,0.0297
P2-01,uniform,8,0.0244
P2-01,uniform,9,0.0244
P2-01,uniform,10,0.0198
P3-09,uniform,1,0.0093
P3-09,uniform,2,0.0672
P3-09,uniform,3,0.0784
P3-09,uniform,4,0.0705
P3-09,uniform,5,0.0830
P3-09,uniform,6,0.0632
P3-09,uniform,7,0.0567
P3-09,uniform,8,0.0482
P3-09,uniform,9,0.0408
P3-09,uniform,10,0.0330
P4-24,uniform,1,0.0629
P4-24,uniform,2,0.2487
P4-24,uniform,3,0.1041
P4-24,uniform,4,0.0629
P4-24,uniform,5,0.0654
P4-24,uniform,6,0.0564
P4-24,uniform,7,0.0456
P4-24,uniform,8,0.0330
P4-24,uniform,9,0.0348
P4-24,uniform,10,0.0304
P1-12,uniform,1,0.0000
P1-12,uniform,2,0.0042
P1-12,uniform,3,0.0003
P1-12,uniform,4,0.0246
P1-12,uniform,5,0.0215
P1-12,uniform,6,0.0537
P1-12,uniform,7,0.0150
P1-12,uniform,8,0.0417
P1-12,uniform,9,0.0128
P1-12,uniform,10,0.0342
P1-25,uniform,1,0.0000
P1-25,uniform,2,0.0000
P1-25,uniform,3,0.0227
P1-25,uniform,4,0.0205
P1-25,uniform,5,0.0392
P1-25,uniform,6,0.0106
P1-25,uniform,7,0.0418
P1-25,uniform,8,0.0117
P1-25,uniform,9,0.0401
P1-25,uniform,10,0.0138
P2-07,uniform,1,0.0105
P2-07,uniform,2,0.0494
P2-07,uniform,3,0.0220
P2-07,uniform,4,0.0189
P2-07,uniform,5,0.0248
P2-07,uniform,6,0.0192
P2-07,uniform,7,0.0167
P2-07,uniform,8,0.0167
P2-07,uniform,9,0.0140
P2-07,uniform,10,0.0121
P2-03,uniform,1,0.0159
P2-03,uniform,2,0.0749
P2-03,uniform,3,0.0828
P2-03,uniform,4,0.0649
P2-03,uniform,5,0.0517
P2-03,uniform,6,0.0491
P2-03,uniform,7,0.0468
P2-03,uniform,8,0.0402
P2-03,uniform,9,0.0392
P2-03,uniform,10,0.0323
