trial,winner_n,winner_eps,winner_members
67,15,0.5000,A12 A22 A24 D09 D16 D18 D23 E18 E19 P16 S28 S30 X14 X15 X17
68,28,0.3011,A09 A10 A11 A21 A27 D01 D02 D05 D06 D07 D08 D16 D17 D19 D21 E20 P07 P08 P09 P10 P11 P12 P15 P25 P26 S23 S32 S33
69,14,0.3500,A12 A14 A23 A24 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
70,5,0.1250,A23 D24 P31 S29 X16
71,16,0.5490,A12 A14 A23 A24 D24 E18 E19 P16 P31 S16 S25 S29 S30 X14 X16 X17
72,16,0.5283,A05 A07 A15 A18 A26 D04 D14 D15 D26 P05 P32 S08 S13 S20 S26 X10
73,18,0.4107,A12 A22 A23 A24 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X14 X15 X16 X17
74,22,0.3088,A12 A14 A22 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S28 S29 S30 X07 X12 X14 X15 X16 X17
75,12,0.5000,A05 A07 A26 D04 D14 D15 D26 E14 P05 P32 S07 S20
76,24,0.3803,A12 A14 A22 A23 A24 D09 D18 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X03 X05 X07 X14 X15 X16 X17
77,5,0.1429,A23 D24 P31 S29 X16
78,5,0.2143,A23 D24 P31 S29 X16
79,5,0.2308,A23 D24 P31 S29 X16
80,5,0.2308,A23 D24 P31 S29 X16
81,29,0.4690,A04 A05 A15 A18 A20 A27 E05 E06 E09 E14 E20 P30 S07 S08 S13 S20 S21 S22 S26 S32 S33 X04 X05 X06 X08 X09 X10 X13 X19
82,27,0.2471,A09 A10 A11 A21 D01 D02 D05 D06 D07 D08 D09 D17 D18 D19 D21 P07 P08 P09 P10 P11 P12 P13 P15 P25 P26 S23 X07
83,15,0.4545,A12 A23 A24 D09 D18 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
84,26,0.2947,A09 A10 A21 A27 D01 D02 D05 D06 D07 D09 D16 D17 D18 D19 D21 E09 E20 P07 P08 P09 P10 P25 P26 S23 S32 S33
85,18,0.4127,A12 A23 A24 D09 D16 D18 D24 E18 E19 P16 P18 P31 S16 S29 S30 X14 X16 X17
86,27,0.3500,A12 A13 A14 A17 A22 A23 A24 D09 D18 D24 E18 E19 P16 P31 S16 S28 S29 S30 X03 X05 X07 X11 X12 X14 X15 X16 X17
87,19,0.4737,A14 A22 A23 D09 D16 D18 D23 D24 E18 E19 P31 S16 S28 S29 X07 X12 X14 X15 X16
88,5,0.1333,A23 D24 P31 S29 X16
89,24,0.3733,A12 A13 A14 A17 A22 A23 A24 D16 D24 E18 E19 P16 P31 S16 S28 S29 S30 X03 X05 X11 X14 X15 X16 X17
90,17,0.4655,A12 A23 A24 D09 D16 D18 D24 E18 E19 P16 P18 P31 S29 S30 X14 X16 X17
91,5,0.1538,A23 D24 P31 S29 X16
92,6,0.5625,A23 D24 E18 P31 S29 X16
93,22,0.5488,A04 A15 A18 A20 A27 E05 E06 E09 E20 P30 S21 S22 S26 S32 S33 X04 X06 X08 X09 X10 X13 X19
94,5,0.2778,A12 A24 P16 S30 X17
95,15,0.5333,A05 A07 A15 A26 D04 D14 D15 D26 P05 P30 P32 S13 S20 S21 X09
96,20,0.3651,A12 A22 A23 A24 D09 D16 D18 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
97,10,0.5000,A22 A23 D16 D24 E18 P31 S28 S29 X15 X16
98,5,0.2000,A23 D24 P31 S29 X16
99,5,0.1667,A23 D24 P31 S29 X16
100,5,0.2500,A23 D24 P31 S29 X16
101,13,0.4884,A12 A22 A24 D09 E18 E19 P16 S16 S28 S30 X14 X15 X17
102,19,0.6364,A05 A07 A15 A18 A26 D04 D14 D15 D26 E14 P05 P32 S07 S08 S13 S20 S21 S26 X10
103,9,0.5000,A22 A23 D24 E18 P31 S28 S29 X15 X16
104,16,0.6140,A12 A14 A23 D16 D24 E18 E19 P16 P18 P31 S16 S29 S30 X03 X14 X16
105,11,0.5556,A12 A24 D02 D17 D21 P16 S14 S19 S23 S30 X17
106,28,0.5000,A04 A05 A15 A16 A18 A20 A26 D26 E05 E06 E14 P05 P30 P32 S07 S08 S19 S20 S21 S22 S26 X04 X06 X08 X09 X10 X13 X19
107,11,0.5000,A12 A24 D02 D17 D21 P16 S14 S19 S23 S30 X17
108,5,0.1429,A23 D24 P31 S29 X16
109,5,0.2000,A23 D24 P31 S29 X16
110,5,0.1429,A23 D24 P31 S29 X16
111,17,0.3571,A12 A14 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
112,22,0.5238,A12 A14 A22 A23 A24 D09 D18 D24 E18 E19 P16 P31 S16 S28 S29 S30 X03 X05 X14 X15 X16 X17
113,22,0.3333,A12 A14 A22 A23 A24 D09 D16 D18 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X14 X15 X16 X17
114,5,0.1176,A23 D24 P31 S29 X16
115,15,0.5106,A12 A22 A24 D09 D16 D18 E18 E19 P16 S16 S28 S30 X14 X15 X17
116,25,0.3924,A03 A09 A10 A21 A27 D01 D02 D05 D06 D07 D09 D16 D17 D18 D21 E20 P07 P08 P09 P10 P25 P26 S23 S32 S33
117,26,0.2717,A09 A10 A21 A27 D01 D02 D05 D06 D07 D09 D16 D17 D18 D19 D21 E09 E20 P07 P08 P09 P10 P25 P26 S23 S32 S33
118,5,0.2727,A23 D24 P31 S29 X16
119,13,0.3721,A12 A23 A24 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
120,29,0.5312,A04 A05 A15 A16 A18 A20 A25 E04 E05 E06 E07 E09 E14 P30 S07 S08 S13 S18 S20 S21 S22 S26 X04 X06 X08 X09 X10 X13 X19
121,24,0.3457,A09 A10 A11 A21 A27 D01 D05 D06 D07 D08 D16 D19 E20 P07 P08 P09 P10 P11 P12 P15 P25 P26 S32 S33
122,16,0.5217,A22 A23 D09 D16 D18 D23 D24 E18 E19 P31 S16 S28 S29 X14 X15 X16
123,30,0.3204,A09 A10 A21 A27 A28 D01 D02 D05 D06 D07 D08 D16 D17 D19 D21 E20 P07 P08 P09 P10 P11 P12 P18 P25 P26 P33 S23 S32 S33 S34
124,5,0.1429,A23 D24 P31 S29 X16
125,5,0.1250,A23 D24 P31 S29 X16
126,19,0.6275,A05 A07 A15 A18 A26 D04 D14 D15 D26 E14 P05 P32 S07 S08 S13 S20 S21 S26 X10
127,5,0.2308,A23 D24 P31 S29 X16
128,19,0.3770,A12 A22 A23 A24 D09 D18 D24 E18 E19 P16 P31 S16 S28 S29 S30 X14 X15 X16 X17
129,20,0.3846,A12 A14 A22 A23 A24 D16 D24 E18 E19 P16 P31 S16 S28 S29 S30 X12 X14 X15 X16 X17
130,17,0.5385,A12 A22 A24 D09 D16 D18 D23 E18 E19 P16 P18 S16 S28 S30 X14 X15 X17
131,11,0.5667,A13 A14 A17 A23 D24 P31 S29 X03 X05 X11 X16
132,25,0.5542,A01 A02 A08 A19 D10 D12 D20 D22 P01 P13 P14 P20 P24 P28 P29 S03 S04 S05 S06 S09 S10 S11 S13 S24 X07
133,5,0.1818,A23 D24 P31 S29 X16
134,26,0.3614,A09 A10 A11 A21 D01 D05 D07 D08 D09 D18 D19 D20 P07 P08 P09 P10 P11 P12 P13 P14 P15 P24 P25 S05 S10 X07
135,5,0.1176,A23 D24 P31 S29 X16
136,6,0.4706,A23 D24 E18 P31 S29 X16
137,5,0.1875,A23 D24 P31 S29 X16
138,5,0.2857,A23 D24 P31 S29 X16
139,20,0.5870,A13 A14 A17 A22 A23 D23 D24 E18 E19 P31 S16 S28 S29 X03 X05 X07 X11 X14 X15 X16
140,16,0.4068,A12 A14 A23 A24 D16 D24 E18 E19 P16 P18 P31 S29 S30 X14 X16 X17
141,19,0.4262,A12 A22 A23 A24 D09 D16 D18 D24 E18 E19 P16 P18 P31 S16 S29 S30 X14 X16 X17
142,5,0.1333,A23 D24 P31 S29 X16
143,3,0.5000,A13 A17 X11
144,19,0.3607,A12 A14 A22 A23 A24 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X14 X15 X16 X17
145,13,0.4545,A12 A22 A24 D09 D16 E18 E19 P16 S28 S30 X14 X15 X17
146,15,0.3409,A12 A14 A22 A23 A24 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
147,3,0.4000,A13 A17 X11
148,5,0.1429,A23 D24 P31 S29 X16
149,25,0.4731,A04 A05 A15 A18 A20 A27 E05 E06 E09 E14 E20 P30 S07 S08 S22 S26 S32 S33 X04 X06 X08 X09 X10 X13 X19
150,16,0.6087,A12 A14 A22 A24 D09 D16 D18 E18 E19 P16 P18 S15 S16 S30 X14 X17
151,5,0.2308,A23 D24 P31 S29 X16
152,15,0.6000,A13 A14 A17 A22 A23 D24 P31 S28 S29 X03 X07 X11 X12 X15 X16
153,10,0.6154,A13 A14 A23 D24 P31 S16 S29 X03 X05 X16
154,5,0.2143,A23 D24 P31 S29 X16
155,14,0.5000,A12 A22 A24 D09 D16 E18 E19 E20 P16 S30 S32 S33 X14 X17
156,18,0.4074,A12 A14 A22 A23 A24 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
157,16,0.3269,A12 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S29 S30 X14 X16 X17
158,23,0.5059,A04 A15 A18 A20 A27 E05 E06 E09 E20 P30 S08 S21 S22 S26 S32 S33 X04 X06 X08 X09 X10 X13 X19
159,19,0.5000,A22 A23 D09 D16 D18 D20 D24 E18 E19 P13 P24 P31 S28 S29 X07 X12 X14 X15 X16
160,23,0.4932,A12 A13 A14 A17 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S16 S29 S30 X03 X05 X11 X14 X16 X17
161,16,0.3571,A12 A23 A24 D06 D16 D24 E18 E19 P16 P26 P31 S29 S30 X14 X16 X17
162,26,0.3125,A09 A10 A11 A21 D01 D02 D05 D06 D07 D08 D17 D19 D21 P07 P08 P09 P10 P11 P12 P13 P15 P25 P26 S23 X07 X12
163,19,0.5283,A12 A22 A23 A24 D09 D18 D24 E18 E19 P16 P31 S28 S29 S30 X12 X14 X15 X16 X17
164,5,0.1429,A23 D24 P31 S29 X16
165,12,0.6000,A05 A07 A26 D04 D14 D15 D26 E14 P05 P32 S07 S20
166,11,0.5143,A12 A24 D09 D16 D18 E18 E19 P16 S30 X14 X17
167,20,0.2807,A12 A22 A23 A24 D09 D16 D18 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
168,13,0.5806,A13 A14 A17 A23 D24 P13 P31 S29 X03 X05 X07 X11 X16
